sample_id,text_excerpt,word_count,approx_flesch_score,grammar_issues,vocabulary_diversity_pct,quality_label
1,i done the work yesterday it was hard work hard work is good,13,92,3,46,Needs Work
2,social media is good for business.social media help people.people use social media daily,15,68,2,53,Needs Work
3,The the project is done.It need review,7,75,3,71,Needs Work
4,marketing is marketing.you need marketing for your business.marketing helps,12,80,1,33,Needs Work
5,i work hard everyday i do my best work everyday working is important everyday,14,89,2,35,Needs Work
6,website is website.you need website.website is good.website can help,12,82,1,30,Needs Work
7,logo is important logo must be nice logo helps business logo should be simple,15,79,1,38,Needs Work
8,data is data.we need data.data is everywhere.collect the data.use the data,15,80,2,33,Needs Work
9,customer want good product.good product make customer happy.happy customer buy again,14,71,1,60,Needs Work
10,freelancing is good job.you can earn money.money is good.freelancing give money,15,81,1,56,Needs Work
11,Social media marketing involves creating content to engage audiences. Platforms like Instagram and Facebook are used. Businesses benefit from regular posting and interaction with followers.,32,55,1,65,Satisfactory
12,Graphic design is the practice of creating visual content. Designers use tools like Adobe Illustrator. Good design communicates a message clearly to the viewer.,30,58,0,68,Satisfactory
13,Search engine optimization improves website visibility. It involves using keywords and quality content. Higher rankings lead to more organic traffic for businesses.,27,52,0,71,Satisfactory
14,WordPress is a popular content management system. It allows users to build websites without coding. Many themes and plugins extend its functionality.,27,56,0,70,Satisfactory
15,Data analytics involves examining datasets to draw conclusions. Analysts use tools like Excel and Python. The insights help organizations make better decisions.,28,54,0,71,Satisfactory
16,"QuickBooks is an accounting software used by small businesses. It manages invoices, payroll, and tax filing. Many bookkeepers use it to track expenses and income.",29,50,0,72,Satisfactory
17,AutoCAD is a software application for computer-aided design. It is widely used in architecture and engineering. Users create detailed 2D and 3D drawings with precision.,28,48,0,72,Satisfactory
18,E-commerce platforms allow businesses to sell products online. Shopify and WooCommerce are popular choices. Setting up an online store requires product listings and payment integration.,29,46,0,72,Satisfactory
19,Content writing requires strong research and communication skills. Writers must adapt their tone to different audiences. Consistent quality is essential for building readership.,27,53,0,71,Satisfactory
20,Programming involves writing instructions for computers to execute. Languages like Python and JavaScript are widely used. Developers solve problems through logical thinking and code.,27,52,0,67,Satisfactory
21,"Effective social media marketing requires a consistent brand voice, regular content creation, and active community engagement. By analyzing performance metrics such as reach and conversion rates, businesses can refine their strategy to maximize return on investment. Platforms like Instagram, LinkedIn, and TikTok each demand tailored content formats and audience approaches.",59,45,0,75,Good
22,"Search engine optimization is a multifaceted discipline combining technical website improvements, high-quality content creation, and strategic link building. By targeting the right keywords and ensuring fast page load speeds, businesses can significantly improve their organic search rankings. Long-term SEO success depends on understanding user intent and consistently delivering valuable content.",52,42,0,77,Good
23,"Graphic design principles such as balance, contrast, and hierarchy guide the creation of visually compelling materials. Professional designers use color psychology to evoke emotional responses and typography to enhance readability. A well-crafted design communicates the brand message at first glance while maintaining aesthetic coherence.",47,40,0,76,Good
24,"Data analytics empowers organizations to transform raw numbers into actionable insights. By applying statistical methods, machine learning algorithms, and visualization techniques, analysts uncover patterns that inform strategic decisions. The ability to communicate findings clearly to non-technical stakeholders is equally important as technical proficiency.",49,38,0,78,Good
